Species,SVSPP,YEAR,MeanCond,StdDevCond,nCond,n
Atlantic herring,32,1993,108.6341266188311,12.943656077430488,429,28
Atlantic herring,32,1994,112.22256196052355,47.24105605183633,335,28
Atlantic herring,32,1995,108.52688784294872,13.74948070843461,475,28
Atlantic herring,32,1996,103.4245676004571,10.99327318396714,497,28
Atlantic herring,32,1997,102.52246359654326,14.011415031176659,414,28
Atlantic herring,32,1998,104.34533871142041,12.864750884007563,857,28
Atlantic herring,32,1999,106.59300198110822,13.374576028612887,541,28
Atlantic herring,32,2000,111.15566204481136,16.761546838834946,647,28
Atlantic herring,32,2001,111.85938484476567,14.414371848127674,1066,28
Atlantic herring,32,2002,106.9755947268769,14.778592538812324,1171,28
Atlantic herring,32,2003,107.6182436383279,13.506749505167786,806,28
Atlantic herring,32,2004,103.31092219562562,12.927245802659613,1022,28
Atlantic herring,32,2005,104.23631842335746,14.358004795792032,1407,28
Atlantic herring,32,2006,108.2357306138703,15.658316382290568,1002,28
Atlantic herring,32,2007,109.82393057851097,12.77326544819315,1243,28
Atlantic herring,32,2008,109.99522237558028,14.741593862500173,1255,28
Atlantic herring,32,2009,106.33367864644492,14.392221059211133,1075,28
Atlantic herring,32,2010,100.67613215094035,11.454101037128389,1596,28
Atlantic herring,32,2011,103.8176790635471,10.973802419936888,1295,28
Atlantic herring,32,2012,104.10505382662862,11.898631250760463,1549,28
Atlantic herring,32,2013,100.0405172921038,10.040167191207914,707,28
Atlantic herring,32,2014,100.61188068267792,10.308942201332025,771,28
Atlantic herring,32,2015,100.70942668514512,11.281320927494146,938,28
Atlantic herring,32,2016,102.24471628677892,11.98218185904816,649,28
Atlantic herring,32,2017,97.05169191718404,10.514243814755083,344,28
Atlantic herring,32,2018,101.61499405570845,11.198550249118076,237,28
Atlantic herring,32,2019,101.86187975368112,13.20267679025944,372,28
Atlantic mackerel,121,1992,106.02293649768649,4.591381328387492,29,27
Atlantic mackerel,121,1993,104.67137929608171,5.874960134733527,49,27
Atlantic mackerel,121,1994,107.54277022051305,4.498366038261576,38,27
Atlantic mackerel,121,1995,103.49595429152028,6.035732980989679,38,27
Atlantic mackerel,121,1996,107.25031587700585,4.686461938652295,32,27
Atlantic mackerel,121,1997,105.90350311107693,6.010728542935013,22,27
Atlantic mackerel,121,1998,103.4908134319184,5.673762685647611,91,27
Atlantic mackerel,121,1999,106.9724623105848,4.6082498910584215,16,27
Atlantic mackerel,121,2000,100.58629251480092,8.105822029283107,28,27
Atlantic mackerel,121,2001,104.17585769787809,4.996246735210446,50,27
Atlantic mackerel,121,2002,104.81623216287488,7.411215308368813,36,27
Atlantic mackerel,121,2003,105.76279600766854,5.242589666362825,41,27
Atlantic mackerel,121,2004,101.83451080005396,6.453052802594512,31,27
Atlantic mackerel,121,2005,102.06581856786562,5.619122200464436,28,27
Atlantic mackerel,121,2006,103.9029345182,7.212033413879737,12,27
Atlantic mackerel,121,2007,103.885502734305,5.825664038767929,22,27
Atlantic mackerel,121,2008,104.86065390313249,5.1999168741336534,34,27
Atlantic mackerel,121,2009,103.1349899773736,6.740011685399171,42,27
Atlantic mackerel,121,2010,102.35264185011476,6.293069299750123,112,27
Atlantic mackerel,121,2011,104.47264190705393,5.735597962264766,78,27
Atlantic mackerel,121,2012,104.01592245833403,5.817692899262053,49,27
Atlantic mackerel,121,2013,103.54531064531753,5.262722458135483,39,27
Atlantic mackerel,121,2014,106.13733242617118,4.89016908983085,85,27
Atlantic mackerel,121,2015,104.92227467144656,5.877302214357658,95,27
Atlantic mackerel,121,2016,104.15925660409522,6.3019493938446205,118,27
Atlantic mackerel,121,2018,102.67938639451297,6.527250715805839,68,27
Atlantic mackerel,121,2019,101.53059499325104,6.228982923106173,77,27
Black sea bass,141,1992,103.95521149507385,9.09595005990644,50,28
Black sea bass,141,1993,102.22912761763484,9.846256519559649,37,28
Black sea bass,141,1994,103.53033848137188,8.390131122955522,35,28
Black sea bass,141,1995,105.11521133724936,8.826182560221001,56,28
Black sea bass,141,1996,103.44869964019136,9.17621406384883,36,28
Black sea bass,141,1997,105.99110415094401,7.511244268374104,57,28
Black sea bass,141,1998,102.51803391252835,10.397292964801993,50,28
Black sea bass,141,1999,103.85730859816609,8.847798747885305,35,28
Black sea bass,141,2000,105.09689120957835,9.305749023275787,81,28
Black sea bass,141,2001,102.33182173932177,9.341471679423886,71,28
Black sea bass,141,2002,101.6931651528196,8.967966011908112,128,28
Black sea bass,141,2003,100.13972099675351,8.609370560792106,120,28
Black sea bass,141,2004,100.69259735584275,9.102366654936105,60,28
Black sea bass,141,2005,100.12672036597641,8.75296036673552,26,28
Black sea bass,141,2006,102.90289365850636,8.376159180182599,32,28
Black sea bass,141,2007,98.96533063336962,8.609295345152995,57,28
Black sea bass,141,2008,101.48029735385047,8.200724161210937,53,28
Black sea bass,141,2009,101.93801662847285,8.426723841410205,200,28
Black sea bass,141,2010,100.37032041424543,8.752460941959278,142,28
Black sea bass,141,2011,103.86396337582643,8.980162876355829,173,28
Black sea bass,141,2012,101.70490064969816,8.418609218013295,287,28
Black sea bass,141,2013,105.66473677829319,8.077327777673013,170,28
Black sea bass,141,2014,101.56303680721561,8.749454863895657,267,28
Black sea bass,141,2015,100.47678097748795,9.39584334223608,325,28
Black sea bass,141,2016,100.60815198469749,9.415956866679624,205,28
Black sea bass,141,2017,102.19654802754478,8.74362108085629,23,28
Black sea bass,141,2018,97.51810194887848,8.849422446858126,240,28
Black sea bass,141,2019,100.7662392317826,9.185708405568167,259,28
Bluefish,135,1992,95.35026265307339,5.171157102211873,73,27
Bluefish,135,1993,98.58384091997934,5.336268128049998,41,27
Bluefish,135,1994,97.36643470950078,4.742895877406012,103,27
Bluefish,135,1995,95.61543657074787,5.188998114014923,121,27
Bluefish,135,1996,95.49578367190983,4.950413366040707,82,27
Bluefish,135,1997,97.18131150592137,5.469255732961832,43,27
Bluefish,135,1998,97.05027011836393,5.599653410950657,69,27
Bluefish,135,1999,96.80705789823003,5.5760558106654114,116,27
Bluefish,135,2000,96.07846997749517,5.058779260539769,91,27
Bluefish,135,2001,95.46408740609179,4.971467143259239,47,27
Bluefish,135,2002,95.70562262475723,5.11130676465226,54,27
Bluefish,135,2003,95.45129860039877,5.464367078558379,77,27
Bluefish,135,2004,92.94723790875865,3.415623906070003,50,27
Bluefish,135,2005,95.38885253598913,4.794335200039962,70,27
Bluefish,135,2006,94.43649876672471,4.897072200984282,91,27
Bluefish,135,2007,95.1968631302287,4.647853247568281,64,27
Bluefish,135,2008,94.70409925943352,4.847024708828793,81,27
Bluefish,135,2009,96.9054680825241,4.8803962526602565,89,27
Bluefish,135,2010,96.70033053566443,5.462811929752164,111,27
Bluefish,135,2011,94.79179047670044,4.283488220209103,75,27
Bluefish,135,2012,95.45285622909165,5.19432236811439,78,27
Bluefish,135,2013,96.92293929820163,5.644110928181909,30,27
Bluefish,135,2014,94.67557280800771,5.146627556092916,56,27
Bluefish,135,2015,96.63735567026467,5.904440348468014,43,27
