Species,EPU,sex,YEAR,MeanCond,nCond,n
American Plaice,GOM,F,2007,95.54077866248633,234,27
American Plaice,GOM,F,2008,96.15818097111611,458,27
American Plaice,GOM,F,2009,97.24279696135487,245,27
American Plaice,GOM,F,2010,98.48634329935172,254,27
American Plaice,GOM,F,2011,98.03037220263558,313,27
American Plaice,GOM,F,2012,100.34706295101518,305,27
American Plaice,GOM,F,2013,101.67728206013766,231,27
American Plaice,GOM,F,2014,101.38070683659201,242,27
American Plaice,GOM,F,2015,101.46617305162121,426,27
American Plaice,GOM,F,2016,102.7730699838208,369,27
American Plaice,GOM,F,2017,99.56920928700283,142,27
American Plaice,GOM,F,2018,99.08915705930055,218,27
American Plaice,GOM,M,1992,102.05041320582237,185,27
American Plaice,GOM,M,1993,103.78327032227034,156,27
American Plaice,GOM,M,1994,100.89930175845878,174,27
American Plaice,GOM,M,1995,101.21178199819143,134,27
American Plaice,GOM,M,1996,100.62036545518687,118,27
American Plaice,GOM,M,1997,102.17072336220805,127,27
American Plaice,GOM,M,1998,102.72319226766398,130,27
American Plaice,GOM,M,1999,101.7599957643622,248,27
American Plaice,GOM,M,2000,100.44528927770739,108,27
American Plaice,GOM,M,2001,100.35622129260979,124,27
American Plaice,GOM,M,2002,97.04623843782817,94,27
American Plaice,GOM,M,2003,97.47080647936346,94,27
American Plaice,GOM,M,2004,96.94620602437695,71,27
American Plaice,GOM,M,2005,98.5346371961812,110,27
American Plaice,GOM,M,2006,96.88848380908104,151,27
American Plaice,GOM,M,2007,98.07598458021889,123,27
American Plaice,GOM,M,2008,97.25508611093208,267,27
American Plaice,GOM,M,2009,98.29813862477125,143,27
American Plaice,GOM,M,2010,98.67397116449969,147,27
American Plaice,GOM,M,2011,98.42271924697938,146,27
American Plaice,GOM,M,2012,101.22433222488695,163,27
American Plaice,GOM,M,2013,102.46761142862476,184,27
American Plaice,GOM,M,2014,101.79866422655981,194,27
American Plaice,GOM,M,2015,102.83116116497489,339,27
American Plaice,GOM,M,2016,102.5663400106663,252,27
American Plaice,GOM,M,2017,101.96489940015552,103,27
American Plaice,GOM,M,2018,101.8696755822431,123,27
American Plaice,SS,F,1992,98.37764557485747,20,26
American Plaice,SS,F,1993,103.19947071319494,23,26
American Plaice,SS,F,1994,98.33819876095097,10,26
American Plaice,SS,F,1995,95.8312404745832,25,26
American Plaice,SS,F,1996,105.32377684465386,12,26
American Plaice,SS,F,1997,98.6939305592207,10,26
American Plaice,SS,F,1998,102.7897283347219,10,26
American Plaice,SS,F,1999,101.9798122273704,27,26
American Plaice,SS,F,2000,97.88511280062747,9,26
American Plaice,SS,F,2001,101.01911751421926,11,26
American Plaice,SS,F,2002,99.84067295518707,29,26
American Plaice,SS,F,2003,102.47262663595606,12,26
American Plaice,SS,F,2004,99.05561658141015,15,26
American Plaice,SS,F,2005,96.85272230343188,9,26
American Plaice,SS,F,2006,97.58172628172693,29,26
American Plaice,SS,F,2007,100.37280673022906,13,26
American Plaice,SS,F,2008,99.02923257859713,26,26
American Plaice,SS,F,2009,102.29342502805069,26,26
American Plaice,SS,F,2010,101.64178063680811,33,26
American Plaice,SS,F,2011,99.63901897901714,22,26
American Plaice,SS,F,2012,101.28351476915753,39,26
American Plaice,SS,F,2013,100.91744298852835,5,26
American Plaice,SS,F,2014,103.52446262744769,11,26
American Plaice,SS,F,2015,101.66151356652236,42,26
American Plaice,SS,F,2016,99.44068068582193,9,26
American Plaice,SS,F,2017,104.3318545601243,11,26
American Plaice,SS,M,1992,101.85392003602558,14,26
American Plaice,SS,M,1993,105.27070625570562,27,26
American Plaice,SS,M,1994,102.55338596893242,20,26
American Plaice,SS,M,1995,98.565982952307,22,26
American Plaice,SS,M,1996,106.35456555852673,8,26
American Plaice,SS,M,1997,105.10372768726506,13,26
American Plaice,SS,M,1998,99.25768641225616,12,26
American Plaice,SS,M,1999,102.97888364557562,41,26
American Plaice,SS,M,2000,103.1814100431577,30,26
American Plaice,SS,M,2001,99.43886513619854,25,26
American Plaice,SS,M,2002,101.15924076010661,35,26
American Plaice,SS,M,2003,99.46836335884686,10,26
American Plaice,SS,M,2004,101.31904432591908,15,26
American Plaice,SS,M,2005,99.10556682208725,22,26
American Plaice,SS,M,2006,99.8952652217607,23,26
American Plaice,SS,M,2007,102.79566629334185,24,26
American Plaice,SS,M,2008,102.03910870675469,32,26
American Plaice,SS,M,2009,101.62497872979176,29,26
American Plaice,SS,M,2010,103.11985224782606,18,26
American Plaice,SS,M,2011,97.01599832635551,20,26
American Plaice,SS,M,2012,99.37001592720527,32,26
American Plaice,SS,M,2013,104.73353210463303,19,26
American Plaice,SS,M,2014,102.484968585976,32,26
American Plaice,SS,M,2015,104.85376502711905,46,26
American Plaice,SS,M,2016,102.81927312543088,17,26
American Plaice,SS,M,2017,104.03097095959681,11,26
Atl Cod,GB,F,1992,100.43941137312984,45,27
Atl Cod,GB,F,1993,100.21799201940392,34,27
Atl Cod,GB,F,1994,99.45878553929332,50,27
Atl Cod,GB,F,1995,99.3213108622093,33,27
Atl Cod,GB,F,1996,100.82531359471514,62,27
Atl Cod,GB,F,1997,100.76258295440208,118,27
Atl Cod,GB,F,1998,100.23965319154556,98,27
Atl Cod,GB,F,1999,103.06990077231217,9,27
Atl Cod,GB,F,2000,99.08519328659712,18,27
Atl Cod,GB,F,2001,100.79751518158773,23,27
Atl Cod,GB,F,2002,99.3912586165946,69,27
Atl Cod,GB,F,2003,103.48467730293045,24,27
Atl Cod,GB,F,2004,97.21781006083457,41,27
Atl Cod,GB,F,2005,97.98650622436976,23,27
Atl Cod,GB,F,2006,98.3508927856831,41,27
Atl Cod,GB,F,2007,103.62958661327131,10,27
Atl Cod,GB,F,2008,100.31813458399915,69,27
Atl Cod,GB,F,2009,100.09220071206543,63,27
Atl Cod,GB,F,2010,98.54542727128936,60,27
Atl Cod,GB,F,2011,99.8834171684657,92,27
Atl Cod,GB,F,2012,96.94913844161826,34,27
Atl Cod,GB,F,2013,96.65521356069263,56,27
Atl Cod,GB,F,2014,98.2068685007929,34,27
Atl Cod,GB,F,2015,102.34462000656954,108,27
Atl Cod,GB,F,2016,98.09678580189903,116,27
Atl Cod,GB,F,2017,102.1977485021646,7,27
Atl Cod,GB,F,2018,98.93107726749864,30,27
Atl Cod,GB,M,1992,101.90326801393869,42,27
Atl Cod,GB,M,1993,100.06821936392804,35,27
Atl Cod,GB,M,1994,100.72486813330848,48,27
Atl Cod,GB,M,1995,98.63711316735902,32,27
Atl Cod,GB,M,1996,100.26469149680446,60,27
Atl Cod,GB,M,1997,101.15133441943294,110,27
Atl Cod,GB,M,1998,100.26387026229602,104,27
Atl Cod,GB,M,1999,102.67370077983615,19,27
Atl Cod,GB,M,2000,101.95389247498079,11,27
Atl Cod,GB,M,2001,100.78037943503216,30,27
Atl Cod,GB,M,2002,99.7698530969454,57,27
Atl Cod,GB,M,2003,100.7067524926048,26,27
Atl Cod,GB,M,2004,98.50102546444252,23,27
Atl Cod,GB,M,2005,98.96560588223329,35,27
Atl Cod,GB,M,2006,97.74288222755202,46,27
Atl Cod,GB,M,2007,100.28879326079745,12,27
Atl Cod,GB,M,2008,100.89230565903893,82,27
Atl Cod,GB,M,2009,97.72878137869183,76,27
Atl Cod,GB,M,2010,98.03709815416173,46,27
Atl Cod,GB,M,2011,100.14490516860792,81,27
Atl Cod,GB,M,2012,98.17739365976995,43,27
Atl Cod,GB,M,2013,100.33793132372448,57,27
Atl Cod,GB,M,2014,98.63870640527229,39,27
Atl Cod,GB,M,2015,102.24526827032551,130,27
Atl Cod,GB,M,2016,98.82910545623245,139,27
Atl Cod,GB,M,2017,102.3667481616429,13,27
Atl Cod,GB,M,2018,101.58207760850306,26,27
Atl Cod,GOM,F,1992,99.90367373620838,44,27
Atl Cod,GOM,F,1993,101.34520120620682,55,27
Atl Cod,GOM,F,1994,100.61928891811567,52,27
Atl Cod,GOM,F,1995,100.91677712620621,51,27
Atl Cod,GOM,F,1996,99.14809856579666,64,27
Atl Cod,GOM,F,1997,101.07076238274675,71,27
Atl Cod,GOM,F,1998,99.84649595407076,41,27
Atl Cod,GOM,F,1999,100.7795992862878,126,27
Atl Cod,GOM,F,2000,98.04711313238056,83,27
Atl Cod,GOM,F,2001,98.49125124900648,55,27
Atl Cod,GOM,F,2002,102.30625523840898,70,27
Atl Cod,GOM,F,2003,99.74580841732906,85,27
Atl Cod,GOM,F,2004,99.11051289427658,60,27
Atl Cod,GOM,F,2005,98.54831343655067,65,27
Atl Cod,GOM,F,2006,98.91529582853926,654,27
Atl Cod,GOM,F,2007,99.43839172547031,58,27
Atl Cod,GOM,F,2008,98.55940917705212,184,27
Atl Cod,GOM,F,2009,99.39584295382797,155,27
Atl Cod,GOM,F,2010,99.55884463777717,136,27
Atl Cod,GOM,F,2011,98.80326213477267,163,27
Atl Cod,GOM,F,2012,100.95807487203257,93,27
Atl Cod,GOM,F,2013,98.43419294102102,50,27
Atl Cod,GOM,F,2014,100.71389731556151,61,27
Atl Cod,GOM,F,2015,100.420067397612,125,27
Atl Cod,GOM,F,2016,100.04733079531934,102,27
Atl Cod,GOM,F,2017,99.72893193256287,50,27
Atl Cod,GOM,F,2018,101.65577347889109,55,27
Atl Cod,GOM,M,1992,98.2960320682728,38,27
Atl Cod,GOM,M,1993,99.69354326055098,38,27
Atl Cod,GOM,M,1994,99.0700159319367,45,27
Atl Cod,GOM,M,1995,100.44708628893264,41,27
Atl Cod,GOM,M,1996,99.83337538898706,63,27
Atl Cod,GOM,M,1997,100.53321801328887,65,27
Atl Cod,GOM,M,1998,99.84863770329285,44,27
Atl Cod,GOM,M,1999,101.03468241107022,88,27
Atl Cod,GOM,M,2000,99.42230921057993,70,27
Atl Cod,GOM,M,2001,99.6210749995652,41,27
Atl Cod,GOM,M,2002,100.51668349041458,58,27
Atl Cod,GOM,M,2003,100.23387329855112,64,27
Atl Cod,GOM,M,2004,97.39629837403353,49,27
Atl Cod,GOM,M,2005,96.98628932916829,52,27
Atl Cod,GOM,M,2006,98.7993953160712,617,27
Atl Cod,GOM,M,2007,98.05382471195412,55,27
Atl Cod,GOM,M,2008,99.10922251199086,164,27
Atl Cod,GOM,M,2009,100.73170703209139,180,27
Atl Cod,GOM,M,2010,98.3672302151034,138,27
Atl Cod,GOM,M,2011,98.8888460129636,138,27
Atl Cod,GOM,M,2012,102.06336675233189,82,27
Atl Cod,GOM,M,2013,101.42560292126558,84,27
Atl Cod,GOM,M,2014,102.0462681021852,42,27
Atl Cod,GOM,M,2015,101.31677934497253,177,27
Atl Cod,GOM,M,2016,99.82553850126624,89,27
Atl Cod,GOM,M,2017,100.0710451196756,51,27
Atl Cod,GOM,M,2018,102.33570942635733,43,27
Atl Cod,SS,F,1992,99.19950775939331,38,27
Atl Cod,SS,F,1993,98.9064154390297,32,27
Atl Cod,SS,F,1994,98.06043970797259,53,27
Atl Cod,SS,F,1995,98.2978225244219,24,27
Atl Cod,SS,F,1996,97.30402492074097,18,27
Atl Cod,SS,F,1997,95.77809756888865,15,27
Atl Cod,SS,F,1998,99.81419562064947,22,27
Atl Cod,SS,F,1999,98.75606045670763,25,27
Atl Cod,SS,F,2000,97.44325678995513,23,27
Atl Cod,SS,F,2001,97.11586809192539,35,27
Atl Cod,SS,F,2002,98.39909306622127,38,27
Atl Cod,SS,F,2003,96.07878636225395,30,27
Atl Cod,SS,F,2004,96.08784273097334,27,27
Atl Cod,SS,F,2005,96.19651953060558,18,27
Atl Cod,SS,F,2006,99.31670947965853,13,27
Atl Cod,SS,F,2007,97.56507162516941,19,27
Atl Cod,SS,F,2008,97.20547345374304,18,27
Atl Cod,SS,F,2009,96.37076049208432,14,27
Atl Cod,SS,F,2010,98.152698928341,14,27
Atl Cod,SS,F,2011,97.03420458720315,30,27
Atl Cod,SS,F,2012,99.15341966539322,20,27
Atl Cod,SS,F,2013,98.1358791292651,15,27
Atl Cod,SS,F,2014,97.50660744252768,24,27
Atl Cod,SS,F,2015,99.33695009473355,55,27
Atl Cod,SS,F,2016,98.29334766279023,42,27
Atl Cod,SS,F,2017,98.44258858491469,10,27
Atl Cod,SS,F,2018,97.33253603158681,23,27
Atl Cod,SS,M,1992,98.16465780943108,23,27
Atl Cod,SS,M,1993,98.1514944019838,21,27
Atl Cod,SS,M,1994,96.6246422666365,37,27
Atl Cod,SS,M,1995,98.8997415138645,33,27
Atl Cod,SS,M,1996,99.71278212363217,19,27
Atl Cod,SS,M,1997,100.73068910950128,9,27
Atl Cod,SS,M,1998,96.97967046977686,23,27
Atl Cod,SS,M,1999,100.06100046663411,34,27
Atl Cod,SS,M,2000,98.23994825647686,13,27
Atl Cod,SS,M,2001,95.85068828803948,30,27
Atl Cod,SS,M,2002,97.84560704793196,32,27
Atl Cod,SS,M,2003,98.53085734561975,28,27
Atl Cod,SS,M,2004,97.64121303256098,43,27
Atl Cod,SS,M,2005,98.74483294024905,22,27
Atl Cod,SS,M,2006,95.90773380349633,9,27
